id,producto,description,precio,categorias,imagen,linkPago
283,Canasto Ropa Alg 38*33 Gris,Ideal para darle un toque natural y funcional a tus espacios!   CANASTO IDEAL PARA ROPA - ..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20ENCATEX/7730784171933-.jpeg,<paymentLink>
13,Set De Menaje Para Cocina 7 Pzas,COD OR: CUO714    Set 7 piezas.Cuerpo de nylon resistente a altas temperaturas.Diseña..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20TECNO/2026/CAMP%203/CUO714%20(1).jpeg,<paymentLink>
285,Canasto Mimbre Raya - Negro,Ideal para darle un toque natural y funcional a tus espacios!   CANASTO DE MIMBRE CON ASAS..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20ENCATEX/7730784171919-.jpeg,<paymentLink>
288,Canasto Mimbre Raya Bl,Ideal para darle un toque natural y funcional a tus espacios!   CANASTO DE MIMBRE CON ASAS..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20ENCATEX/7730784171872-.jpeg,<paymentLink>
286,Canasto Mimbre Raya Man,Ideal para darle un toque natural y funcional a tus espacios!   CANASTO DE MIMBRE CON ASAS..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20ENCATEX/7730784171889-.jpeg,<paymentLink>
287,Canasto Mimbre Borde - Blanco,Ideal para darle un toque natural y funcional a tus espacios!   CANASTO DE MIMBRE CON ASAS..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20ENCATEX/7730784171896-.jpeg,<paymentLink>
75,Perchero Y Organizador,COD OR: DR40    Perfecto para mantener tu espacio ordenado y estilizado!- 162x96x44cm..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20TECNO/2026/CAMP%203/DR40%20(1).jpeg,<paymentLink>
48,Termo 750ml Lumilagro,COD OR: QY199     El Termo Lumilagro de Acero Inoxidable de 750 ml con tapón de botón..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20TECNO/2026/CAMP%203/QY199%20(1).jpeg,<paymentLink>
74,Guardarropa,COD OR: 2287 -   Perfecto para mantener tu espacio ordenado y estilizado!- 165x87x45cm- Es..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20TECNO/2026/CAMP%203/2287%20(1).jpeg,<paymentLink>
301,Set Asado Churrasco Pinc/cuch/tabl - Madera,"Indispensable para disfrutar buenos asados!   ""JUEGO PARA ASADO EN ACERO INOXIDABLE Y MADE..",,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20ENCATEX/7896211847175-.jpeg,<paymentLink>
289,Canasto Mimbre Rectangular Cubo,Ideal para darle un toque natural y funcional a tus espacios!   CANASTO CON FORMA DE CUBO ..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20ENCATEX/7730784171858.jpeg,<paymentLink>
115,Mopa Centrifugadora 360°,COD OR: MOPA-CARITA    Ideal para no mojarte las manos!- Palo de acero inoxidable- 2 ..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20TECNO/2026/CAMP%204/MOPA-CARITA%20(1).jpeg,<paymentLink>
1,Silla Plegable Lona,"COD OR: SYY-001Ideal para camping, playa, jardín o cualquier actividad al aire libre!- Impermeable- ..",,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/BAZAR%20TECNO/CAMP%203/SYY-001%20(3).jpeg,<paymentLink>
284,Canasto Mimbre C/manijas - Blanco,Ideal para darle un toque natural y funcional a tus espacios!   CANASTO DE MIMBRE CON MANI..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20ENCATEX/7730784171926-.jpeg,<paymentLink>
82,Picadora De Carne Manual N°8,COD OR: 54261 La moledora de carne N°8 manual es una herramienta esencial para cualquier cocina..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20TECNO/2026/CAMP%204/54261.jpeg,<paymentLink>
34,Asadera C/rejilla Antiadherente,COD OR: 784    Ideal para usar en reuniones familiares o cenas informales! ..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20TECNO/2026/CAMP%203/784%20(2).jpeg,<paymentLink>
85,Cortador Mandolina 10 En 1,COD OR: EG1671 -   Cortador Picador Triturador Manual para Verduras y Vegetales.Este práct..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20TECNO/2026/CAMP%204/EG1671%20(1).jpeg,<paymentLink>
326,Mantel 140*260 Home Class Water Proof,Ideal para diversas ocasiones y estilos de decoración!    MANTEL RECTANGULAR 140x260c..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20ENCATEX/7730784157708%207730784157739.png,<paymentLink>
282,Canasto Mimbre Beige,Ideal para darle un toque natural y funcional a tus espacios!   CANASTO DE MIMBRE IDEAL PA..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20ENCATEX/7730784171940-.jpeg,<paymentLink>
278,Basurero Basc Ecoblack 28 Lt - Negro,"Ideal para mantener la higiene, el orden y la gestión de residuos!   BASURERO CON CAPACIDA..",,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20ENCATEX/7896042034874.jpg,<paymentLink>
304,Pote De Cubiertos Treviso X 25 Pzas - Negro,Producto indispensable para tu hogar!   JUEGO DE CUBIERTOS EN ACERO INOXIDABLE - VIENE EN ..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20ENCATEX/7896211838968-.jpeg,<paymentLink>
325,Mantel 140*210 Home Class Water Proof,Ideal para diversas ocasiones y estilos de decoración!    MANTEL RECTANGULAR 140x210c..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20ENCATEX/7730784157685.png,<paymentLink>
302,Cubiertos Churrasco Asado Jgo 4 Pzas - Madera,"Indispensable para disfrutar buenos asados!   ""SET DE CUBIERTOS EN ACERO INOXIDABLE Y MADE..",,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20ENCATEX/7896211876335.jpg,<paymentLink>
54,Set De Jarra + Vasos,COD OR: V1449 -    Ideal para uso diario en el hogar!- Vidrio decorado- 6 vasos de 25..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20TECNO/2026/CAMP%203/1449.png,<paymentLink>
73,Bandeja Acolchonada Para Laptop,"COD OR: (553066)     Apoya tu laptop, tablet o libros sobre tus piernas!- 35x24x5cm- ..",,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20TECNO/2026/CAMP%203/553066%20(1).jpeg,<paymentLink>
209,Molinillo De Pimienta 2 En 1,COD OR: ZX-S22    MOLINILLO 2 EN 1 PARA SAL Y PIMIENTA Este molino de cocina combina ..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20TECNO/2026/CAMP%204/DAN-DN53244%20(4).jpeg,<paymentLink>
324,Mantel 160 O Home Class Water Proof,Ideal para diversas ocasiones y estilos de decoración!    MANTEL REDONDO 160cm DE DIA..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20ENCATEX/7730784168094.jpg,<paymentLink>
383,COPA 2 EN 1 DESMONTABLE,"COD OR: MY-8520    Copa 2 en 1 fabricada en acero inoxidable, diseñada para brindar v..",,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20TECNO/2026/CAMP%205/DUL-MY-8520%20(2).jpeg,<paymentLink>
25,Set X 3 Torteras Desmontables,COD OR: -    Cocción uniforme y fácil desmoldeo!- TeflónPráctico juego de moldes redo..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20TECNO/2026/CAMP%203/1379%20(2).jpeg,<paymentLink>
91,Rallador Multifuncion Manual,COD OR: S-959     Ideal para agilizar la preparación de tus comidas!- 3 cuchillas int..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20TECNO/2026/CAMP%204/S-959.jpeg,<paymentLink>
72,Escritorio Plegable Para Laptop,COD OR: LT3     Ideal para trabajar o desayunar en la cama!- Posa tablet y vaso- Pata..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20TECNO/2026/CAMP%203/LT3%20(1).jpeg,<paymentLink>
291,Canasto Mimbre Rectangular,Ideal para darle un toque natural y funcional a tus espacios!   CANASTO RECTANGULAR DE MIM..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20ENCATEX/7730784150136.jpeg,<paymentLink>
292,Canasto Mimbre Rect,Ideal para darle un toque natural y funcional a tus espacios!   CANASTO RECTANGULAR DE MIM..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20ENCATEX/7730784150167.jpeg,<paymentLink>
23,Asadera Rectangular 2200ml Marinex,COD OR: 6534MARINEX    CARACTERISTICAS:*MODELO: ASADERA RECTANGULAR COD#6534*MATERIAL..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20TECNO/2026/CAMP%203/6534MARINEX%20(2).jpeg,<paymentLink>
38,Juego Asado 3 Pzas Parrilla,"COD OR: -    Set De Asado Parrilla Juego Asador Parrillero X 3 PiezasSet para asado, ..",,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20TECNO/2026/CAMP%203/10704.jpeg,<paymentLink>
47,Mate 220ml Con Tapa Lumilagro,COD OR: (-)     Apto para bebidas frías y calientes!Capacidad: 220ml. Doble Pared de ..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20TECNO/2026/CAMP%203/QY200%20(3).jpeg,<paymentLink>
52,Juego De Jarra Y Vasos,COD OR: FE-AB61 -   Jarra De Vidrio De 1.3l Con Tapa Y 4 Vasos LargosClásico set de Jarra ..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20TECNO/2026/CAMP%203/61%20(2).jpeg,<paymentLink>
293,Canasto Mimbre Rect,Ideal para darle un toque natural y funcional a tus espacios!   CANASTO RECTANGULAR DE MIM..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20ENCATEX/7730784150150.jpeg,<paymentLink>
35,Provolonera 19 Reparticiones,"COD OR: B0742 -    Apta para horno, parilla y microondas!Cerámica.Medidas: 25,5 x 22 ..",,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20TECNO/2026/CAMP%203/B0742%20(6).jpeg,<paymentLink>
28,Asadera Rectangular Honda,"COD OR: CB003256M -   Asadera rectangular Corrina 37,5 x 25,3 cm honda – Antiadherente Pre..",,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20TECNO/2026/CAMP%203/003256%20(2).jpeg,<paymentLink>
290,Canasto Mimbre Rectangular,Ideal para darle un toque natural y funcional a tus espacios!   CANASTO DE MIMBRE IDEAL PA..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20ENCATEX/7730784171865.jpeg,<paymentLink>
22,Asadera Oval 1600ml Marinex,COD OR: 6343MARINEXCARACTERISTICAS:*MODELO: ASADERA OVAL COD#6343*MATERIAL: VIDRIO TEMPLADO*APTO PAR..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20TECNO/2026/CAMP%203/6343MARINEX%20(1).jpeg,<paymentLink>
341,Clic Tapa Rosca X 3,"Ideal para almacenar distintas cantidades de alimento!        ""SET X3 RECIP..",,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20ENCATEX/CAMP%204/7899808876411%20(1).jpg,<paymentLink>
300,Churrasco Set Pincho/cuch - Madera,Indispensable para disfrutar buenos asados!   JUEGO PARA ASADO EN ACERO INOXIDABLE Y MADER..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20ENCATEX/7896211847168%20(1).jpg,<paymentLink>
76,Mini Organizador De Zapatos,COD OR: 57304     Mantén tus zapatos siempre organizados y al alcance!Diseño compacto..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20TECNO/2026/CAMP%203/57304%20(5).jpeg,<paymentLink>
281,Canasto Mimbre Red Raya Blanco,Ideal para darle un toque natural y funcional a tus espacios!   CANASTO DE MIMBRE IDEAL PA..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20ENCATEX/7730784171957-.jpeg,<paymentLink>
320,Set X 4 Individual Bamboo,Ideal para decorar la mesa y protegerla!     SET X4 INDIVIDUALES - IDEAL PARA DECORAR..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20ENCATEX/7730784142544.jpg,<paymentLink>
145,Kit Elevador De Muebles Y Electrodomesticos,COD OR: 59442 -    Kit Elevador de Muebles Transportador Con Ruedas y PalancaTransfor..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20TECNO/2026/CAMP%204/59442%20(1).jpeg,<paymentLink>
27,Budinera Redonda Con Tubo,COD OR: CB00349 -    Budinera Redonda con Tubo Corrina Housewares 24x21x4 cmPrepará b..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20TECNO/2026/CAMP%203/00349.jpeg,<paymentLink>
39,Set X 5 Bowls C/tapa,"COD OR: 36,069 -   Indispensable set para tu hogar!Bowls de acero inoxidable Con tapas de ..",,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20TECNO/2026/CAMP%203/36069%20(3).jpeg,<paymentLink>
327,Sendero Home Class 40*150 Water Proof,Ideal para decorar y proteger la mesa!    SENDERO WATER PROOF CON DISEÑO DOBLE FAZ - ..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20ENCATEX/7730784157852%20(1).jpg,<paymentLink>
276,Basurero Classic 4.5 Lt Ranura,"Ideal para mantener la higiene, el orden y la gestión de residuos! - Polipropileno - Capacidad de 4...",,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20ENCATEX/7899808877395.jpg,<paymentLink>
117,Mopa Trapeador Multiuso Plegable,COD OR: 2417 -   Todos los rincones de tu hogar limpios!- Diseño ergonómico- Rotación múlt..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20TECNO/2026/CAMP%204/2417%20(1).jpeg,<paymentLink>
24,Molde Para Souffle 1400ml Marinex,COD OR: 6386MARINEX   CARACTERISTICAS:*MODELO: COD#6386*MATERIAL: VIDRIO TEMPLADO*APTO PAR..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20TECNO/2026/CAMP%203/6386MARINEX%20(2).jpeg,<paymentLink>
368,JUEGO X5 RECIPIENTES REDONDO MULTICOLOR,Ideal para almacenar diferentes alimentos!!      JUEGO DE RECIPENTES CONNECT 5 U..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20ENCATEX/CAMP%205/7896042061740%20(1).jpg,<paymentLink>
367,JUEGO X5 RECIPIENTES RECT MULTICOLOR,Ideal para almacenar diferentes alimentos!!      JUEGO DE RECIPENTES CONNECT 5 U..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20ENCATEX/CAMP%205/7896042061757%20(1).jpg,<paymentLink>
369,JUEGO RECIP. RED 5UN PASTEL - MULTICOLOR/PASTEL,Ideal para almacenar diferentes alimentos!!      JUEGO DE RECIPENTES CONNECT 5 U..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20ENCATEX/CAMP%205/7896042082455%20(2).jpg,<paymentLink>
370,JUEGO RECIP. RECT 5UN PASTEL - MULTICOLOR/PASTEL,Ideal para almacenar diferentes alimentos!!      JUEGO DE RECIPENTES CONNECT 5 U..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20ENCATEX/CAMP%205/7896042082448%20(4).jpg,<paymentLink>
347,Juego De Recipientes X5un,Ideal para almacenar distintas cantidades de alimento!        JUEGO DE RECI..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20ENCATEX/CAMP%204/7899808885895_2.jpg,<paymentLink>
42,Caldera 3 Lts,COD OR: CALDERA3LKETTLE -   Ideal para calentar agua o preparar infusiones con comodidad y..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20TECNO/2026/CAMP%203/CALDERA3LKETTLE%20(1).jpeg,<paymentLink>
351,Pote Plastico Red X 3 Dec,"Ideal para almacenar diferentes alimentos!       ""SET X3 RECIPIENTES CON TAPA RO..",,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20ENCATEX/CAMP%204/7896042037073-.jpeg,<paymentLink>
49,Botella Multicolor 1000ml,COD OR: BOTELLADEPORTIVAMULT -      Ideal para beber la cantidad necesaria de ag..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20TECNO/2026/CAMP%203/BOTELLADEPORTIVAMULT%20(2).jpeg,<paymentLink>
68,Canasto Organizador Con Asas,COD OR: (566478)     Versátil y funcional para prácticamente cualquier hogar!- Sin el..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20TECNO/2026/CAMP%203/566478%20(2).jpeg,<paymentLink>
331,Vidrio Set X 2 Jarras Cerveza Recta Est Vintage,Ideal para cualquier amante de la cerveza!     SET X2 JARRAS DE CERVEZA DE..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20ENCATEX/7730784088590%20(1).jpg,<paymentLink>
361,Recipiente Traba Mas Rect 2.6lt - Gris,Ideal para almacenar diferentes alimentos!       RECIPIENTE RECTANGULAR CON TAPA..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20ENCATEX/CAMP%204/7899808874950.jpg,<paymentLink>
334,Jarra Agua 2lt Elegance,Ideal para el hogar y esas tardes calurosas!     JARRA PLASTICA DE EXCELENTE CALIDAD ..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20ENCATEX/7899808830178%20(1).jpg,<paymentLink>
277,Basurero Basc 7.2 Lt Menta,"Ideal para mantener la higiene, el orden y la gestión de residuos!   BASURERO CON CAPACIDA..",,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20ENCATEX/7896042077703.jpg,<paymentLink>
21,Bandeja Damero Simil Madera 24 X 36,COD OR: 641N   Ideal para servir alimentos!- Rectangular- Plástico- 24x36cm..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20TECNO/2026/CAMP%203/640%20(2).jpeg,<paymentLink>
81,Prensa Para Vegetales,COD OR: 10060   Convierte fácilmente las patatas en un puré suave con esta prensa de patat..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20TECNO/2026/CAMP%204/10060%20(2).jpeg,<paymentLink>
58,Escurridor De Vasos,"COD OR: ATH01111 -    Ideal para el uso diario!- 17,5x18x5x13cm- Fácil de limpiar- Re..",,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20TECNO/2026/CAMP%203/01111%20(1).jpeg,<paymentLink>
323,Delantal C/peto Algodon Est Mj088,Ideal para mantener tu ropa intacta al cocinar!    DELANTAL WATER PROOF - REPELE LIQU..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20ENCATEX/7730784105686_1.jpg,<paymentLink>
279,Basurero Basc 4.9 Lt,"Ideal para mantener la higiene, el orden y la gestión de residuos!   BASURERO CON CAPACIDA..",,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20ENCATEX/7896042037325.jpg,<paymentLink>
360,Traba Mas Recip. Rect 1.9 Lt,Ideal para almacenar diferentes alimentos!       RECIPIENTE RECTANGULAR CON TAPA..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20ENCATEX/CAMP%204/7899808887646.jpg,<paymentLink>
372,RECIPIENTE FLIP 1.9 LT,"Ideal para conservar diferentes alimentos!      ""RECIPIENTE HERMETICO DE PLASTIC..",,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20ENCATEX/CAMP%205/7899808880357-.jpg,<paymentLink>
